"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","Intend.to.apply.","Application.complete.","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL_BI","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","hasnotreceivedfunding","didnotapplycovid","TMF_combined_count","TMF_combined_any","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any"
"11","CA3910023","OAKWOOD LAKE WATER DISTRICT-SUBDIVISION","San Joaquin","DISTRICT 10 - STOCKTON","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,448,1479,167419.6073,39.8809308,"Potentially At-Risk",NA,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","No","C","GW","GW","Self-produced",7.29979736675816,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","1","1"
"12","CA5010039","WESTERN HILLS WATER DISTRICT/DIABLO GRAN","Stanislaus","DISTRICT 10 - STOCKTON","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,596,2000,57319.95216,40.19030807,"At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","HIGH","NONE","NONE","HIGH","HIGH","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","HIGH","No","No","C","SW","SW","Self-produced",7.60140233458373,"NONE","HIGH","HIGH","HIGH","No","No","Yes","Yes","0","0","3","1","2","1","1","1"
"13","CA2010016","RIVERSTONE/ROOTCREEK WATER DISTRICT","Madera","DISTRICT 11 - MERCED","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,1772,5507,129160.0459,48.6463713,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","Yes","Yes","C","GW","GW","Self-produced",8.61395685984855,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"14","CA1910234","WALNUT VALLEY WATER DISTRICT","Los Angeles","DISTRICT 16 - CENTRAL","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,27479,100449,113501.675,21.45507688,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",11.5174153702431,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"15","CA4910029","CAMP MEEKER WATER SYSTEM","Sonoma","DISTRICT 18 - SONOMA","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,356,1171,73620.89232,10.59965087,"Potentially At-Risk",NA,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","No","No","C","GW","GW","Self-produced",7.06646697013696,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","1","1","1","1","2","1","0","0"
"16","CA1503226","QVWD-WEST & EAST COMBINED WATER SYSTEM","Kern","DISTRICT 19 - TEHACHAPI","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,72,188,36277.40007,29.48204928,"At-Risk",0.5,5818908,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","HIGH","NONE","NONE",NA,"HIGH","No","No","C","GW","GW","Self-produced",5.24174701505964,"NONE","NONE","HIGH","HIGH","Yes","Yes","No","Yes","0","0","3","1","1","1","0","0"
"17","CA1510016","RAND COMMUNITIES WATER DISTRICT","Kern","DISTRICT 19 - TEHACHAPI","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,274,303,20713.33758,38.11288542,"Failing",0,3936388,"YES","NO","NO","NO","YES","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","HIGH","MEDIUM","NONE","HIGH","NONE","HIGH","Yes","Yes","C","GW","GW","Self-produced",5.71702770140622,"NONE","NONE","HIGH","HIGH","Yes","Yes","No","No","1","1","2","1","1","1","1","1"
"18","CA3310040","FERN VALLEY WD","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,1179,900,94028.0247,16.4408878,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","MEDIUM","MEDIUM","NONE","HIGH","NONE","NONE","No","No","C","SW","SW","Self-produced",6.80350525760834,"NONE","NONE","HIGH","HIGH","No",NA,NA,"Yes","1","1","3","1","0","0","0","0"
"19","CA3301775","HIGH VALLEYS WATER DISTRICT","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,244,733,77792.29131,39.6966216,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","No","C","GWP","GW","Purchased",6.59850902861452,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","0","0","1","1","1","1","0","0"
"20","CA3310038","RANCHO CALIFORNIA WATER DISTRICT","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,44164,144088,127014.8528,21.05804915,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",11.878186443196,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"21","CA3310074","TEMESCAL VALLEY WATER DISTRICT","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,6388,20526,119266.1879,20.33774919,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","No","C","SWP","SW","Purchased",9.92949637171718,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"22","CA5810006","NORTH YUBA WATER DISTRICT","Yuba","DISTRICT 21 - VALLEY","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,795,2772,34826.54388,12.32222327,"Not At-Risk",0.5,5e+05,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SW","SW","Self-produced",7.92768504561578,"NONE","HIGH","NONE","NONE","Yes",NA,NA,"No","0","0","0","0","2","1","0","0"
"23","CA5210005","RIO ALTO WATER DISTRICT","Tehama","DISTRICT 21 - VALLEY","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,1418,3329,80764.73635,13.83262893,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GW","GW","Self-produced",8.11072758297449,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"24","CA1000345","PANOCHE WATER DISTRICT","Fresno","DISTRICT 23 - FRESNO","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,50,146,61392.28957,47.3050525,"Failing",0.5,0,"YES","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","Did not complete survey","No","C","SW","SW","Self-produced",4.99043258677874,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","1","1","1","1","2","1","0","0"
"25","CA3710036","BORREGO WD","San Diego","DISTRICT 26 - IMPERIAL","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,2049,3429,121613.2312,18.23513559,"Not At-Risk",0,3349694,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GW","GW","Self-produced",8.14031554015999,"NONE","NONE","NONE","NONE","Yes",NA,NA,"No","0","0","0","0","1","1","0","0"
"26","CA3700074","CUYAMACA WATER DISTRICT","San Diego","DISTRICT 26 - IMPERIAL","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,185,525,48329,12.41247324,"Failing",0,0,"NO","YES","YES","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","No","No","C","GW","GW","Self-produced",6.26530121273771,"NONE","NONE","HIGH","NONE","No","No","Yes","Yes","0","0","2","1","1","1","0","0"
"27","CA3701837","WYNOLA WATER DISTRICT","San Diego","DISTRICT 26 - IMPERIAL","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,74,120,40227,13.57602479,"Failing",0,0,"NO","YES","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","MEDIUM","NONE","NONE","NONE","NONE","Did not complete survey","No","C","GW","GW","Self-produced",4.79579054559674,"NONE","NONE","HIGH","HIGH","No","No","Yes","Yes","0","0","3","1","1","1","0","0"
"28","CA0400014","LAKE MADRONE WATER DISTRICT","Butte","LPA34 - BUTTE COUNTY","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,123,297,29035,31.48889645,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","No","No","C","GW","GW","Self-produced",5.6970934865054,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","1","1","1","1","1","1","0","0"
"29","CA2700728","SAN ARDO WD","Monterey","LPA57 - MONTEREY COUNTY","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,161,575,67813,25.52262642,"At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE",NA,"NONE","No","No","C","GW","GW","Self-produced",6.35610766069589,"NONE","NONE","NONE","NONE","No","No","Yes","Yes","0","0","1","1","2","1","0","0"
"30","CA2810009","BERRYESSA PINES WATER SYSTEM","Napa","LPA58 - NAPA COUNTY","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,78,261,54583,15.07085257,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","HIGH","Did not complete survey","No","C","SW","SW","Self-produced",5.5683445037611,"NONE","HIGH","HIGH","HIGH","No",NA,NA,"Yes","0","0","3","1","2","1","0","0"
"31","CA2810014","SPANISH FLAT WATER DISTRICT","Napa","LPA58 - NAPA COUNTY","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,97,230,54583,15.07085257,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","HIGH","Did not complete survey","No","C","SW","SW","Self-produced",5.44241771052179,"NONE","HIGH","HIGH","HIGH","No","No","Yes","Yes","0","0","3","1","2","1","1","1"
"32","CA4500303","TUCKER OAKS EAST WATER DISTRICT","Shasta","LPA75 - SHASTA COUNTY","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,34,95,50746,21.67927781,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","No","No","C","GW","GW","Self-produced",4.56434819146784,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","1","1","1","1","2","1","0","0"
"33","CA1210001","ARCATA, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,6148,21193,50555.10373,19.66983065,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GWP","GW","Purchased",9.96147340173478,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"34","CA1210002","BLUE LAKE, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,731,1245,52407.07582,17.55472273,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","GWP","GW","Purchased",7.1276936993474,"NONE","HIGH","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"35","CA4710001","DORRIS, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,438,887,32307.64811,17.18245688,"Not At-Risk",0.5,2324070,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","GW","GW","Self-produced",6.78897174299217,"NONE","NONE","NONE","NONE","Yes",NA,NA,"No","0","0","0","0","1","1","0","0"
"36","CA4710002","DUNSMUIR, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,1187,1707,36479.08732,20.01752824,"At-Risk",1,5049303,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","No","No","C","GW","GW","Self-produced",7.44307837434852,"NONE","HIGH","HIGH","NONE","Yes","Yes","No","Yes","0","0","2","1","2","1","0","0"
"37","CA4710004","ETNA, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,413,720,43261.51435,11.36609274,"Not At-Risk",0.5,5e+05,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","No","C","SW","SW","Self-produced",6.58063913728495,"NONE","HIGH","NONE","NONE","Yes",NA,NA,"Yes","0","0","1","1","2","1","0","0"
"38","CA1210004","EUREKA, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,10412,27078,57571.28259,21.64351798,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GWP","GW","Purchased",10.2065137987225,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"39","CA4710003","FORT JONES, TOWN OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,347,675,37946.95332,15.50184515,"Potentially At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GW","GW","Self-produced",6.51619307604296,"NONE","HIGH","HIGH","NONE","No",NA,NA,"No","0","0","1","1","2","1","0","0"
"40","CA1210006","FORTUNA, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,4614,12133,65590.53146,23.49659844,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","Yes","Yes","C","GW","GW","Self-produced",9.40376670850224,"NONE","NONE","NONE","NONE","No",NA,NA,"No","1","1","0","0","1","1","0","0"
"41","CA4710007","MONTAGUE, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,536,1495,52332.64153,17.45635902,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","NONE","No","No","C","SW","SW","Self-produced",7.31055015853442,"NONE","NONE","HIGH","HIGH","No",NA,NA,"Yes","0","0","3","1","1","1","0","0"
"42","CA4710008","MT. SHASTA, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,1872,3642,33795.38672,20.82671348,"Not At-Risk",1,6838797,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","Yes","Yes","C","GW","GW","Self-produced",8.20056279700856,"NONE","NONE","NONE","NONE","Yes",NA,NA,"No","0","0","0","0","1","1","0","0"
"43","CA1210012","RIO DELL, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,1284,3300,33465.752,21.72925706,"Not At-Risk",1,1079176,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SW","SW","Self-produced",8.10198073185319,"NONE","NONE","HIGH","NONE","Yes",NA,NA,"No","0","0","1","1","1","1","0","0"
"44","CA1210018","TRINIDAD, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,324,1072,78593.84576,10.99230037,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","No","No","C","SW","SW","Self-produced",6.9782137426307,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","0","0","1","1","2","1","1","1"
"45","CA4710010","TULELAKE, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"Yes","Yes","Full",NA,"Full",NA,473,966,44284.92991,16.08231712,"Not At-Risk",0.5,166500,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Did not complete survey","No","C","GW","GW","Self-produced",6.87419849545329,"NONE","NONE","NONE","NONE","Yes",NA,NA,"Yes","0","0","1","1","1","1","0","0"
