PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Final_inst_update,Inst_Subtype,ancillary,public,enfranchisement,Variablecoded,enfranchisement_final,SERVICE_CONNECTIONS,POPULATION,MHI,CALENVIRO_SCREEN_SCORE,FINAL_SAFER_STATUS,PRIMARY_MCL_VIOLATION,SECONDARY_MCL_VIOLATION,E_COLI_VIOLATION,TREATMENT_TECHNIQUE_VIOLATION,MONITORING_AND_REPORTING_VIOLATION,WEIGHTED_WATER_QUALITY_SCORE,WEIGHTED_ACCESSIBILITY_SCORE,WEIGHTED_AFFORDABILITY_SCORE,WEIGHTED_TMF_CAPACITY_SCORE,FUNDING_RECEIVED_SINCE_2017,Total_risk,CURRENT_FAILING,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,EXTREME_WATER_BILL_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,Intend.to.apply.,Application.complete.,FundingYorN,Type,Primary.Source.Water.Type,Source,Purchased,LN_POP
CA4710009,"WEED, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,1111,5324,30652.03346,25.60578175,Not At-Risk,NO,NO,NO,NO,NO,0,0.5,0.33,1,757038,1.83,Not Failing,0,0,0.5,Yes,Yes,Yes,C,GW,GW,Self-produced,8.580167990577626
CA4710011,"YREKA, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,3015,7746,41661.14426,18.77062347,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.33,8467000,1.33,Not Failing,0,0,1,Yes,Yes,Yes,C,SW,SW,Self-produced,8.955060950631902
CA0810001,CITY OF CRESCENT CITY,Del Norte,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,3557,16711,53398.85074,19.48438383,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0.33,0,1.66,Not Failing,0,0,0,Yes,Yes,No,C,GW,GW,Self-produced,9.723882303236401
CA2510001,CITY OF ALTURAS,Modoc,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,1501,2715,41718.08196,31.77820856,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.33,0,1.33,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,7.906915488678587
CA4510001,CITY OF ANDERSON,Shasta,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,3586,11147,48826.19629,23.85153887,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.67,0,1.67,Not Failing,0,0,1,Yes,No,No,C,GW,GW,Self-produced,9.319015388601839
CA4610001,CITY OF LOYALTON,Sierra,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,356,983,61643.71705,18.27911427,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,2,0,2.33,Not Failing,0,0,0,Yes,Yes,No,C,GW,GW,Self-produced,6.891625897052253
CA3210003,CITY OF PORTOLA,Plumas,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,1154,2100,43495.42431,19.68524602,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,0,0.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,SWP,SW,Purchased,7.650168700845001
CA4510005,CITY OF REDDING,Shasta,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,30377,87741,70333.05981,24.6600907,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SW,SW,Self-produced,11.38215596908088
CA3110008,CITY OF ROSEVILLE,Placer,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,47683,143113,99267.32265,10.25800749,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SW,SW,Self-produced,11.871396794441878
CA4510006,CITY OF SHASTA LAKE,Shasta,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,3883,10657,46404.8455,18.64975659,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.67,0,0,2,Not Failing,0,0,1,Yes,Yes,No,C,SW,SW,Self-produced,9.274066062856727
CA1810001,CITY OF SUSANVILLE,Lassen,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,3765,7811,53135.89233,26.38222655,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.33,0,1.33,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,8.96341629199657
CA3110004,CITY OF LINCOLN,Placer,DISTRICT 02 - LASSEN,City,NA,No,Yes,Full,NA,Full,25149,51252,104112.0982,8.728720803,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.67,0,0.67,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,10.844529431872822
CA2810005,"AMERICAN CANYON, CITY OF",Napa,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,5323,20990,121544.5886,16.76993207,At-Risk,NO,NO,NO,NO,NO,2.25,1.33,0,0,0,3.58,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,9.951849053414007
CA2810002,"CALISTOGA, CITY OF",Napa,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,1591,5610,91750.39548,14.70590186,Failing,YES,NO,NO,NO,NO,0.5,0,0,0.17,0,0.67,Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,8.632484235750972
CA2310001,"FORT BRAGG, CITY OF",Mendocino,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,2861,6970,40773.01485,24.03625792,Potentially At-Risk,NO,NO,NO,NO,NO,0.25,1,1.42,0,691796,2.67,Not Failing,0.75,0,1,Yes,Yes,Yes,C,SW,SW,Self-produced,8.849513965486398
CA1710004,"LAKEPORT, CITY OF",Lake,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,2314,4762,76097.20863,19.86956895,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0,0,1,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,8.46863300080086
CA2810003,"NAPA, CITY OF",Napa,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,25345,87067,110091.9496,9.773482332,Not At-Risk,NO,NO,NO,NO,NO,0.25,0,0,0,0,0.25,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,11.374444701534728
CA2810004,"ST. HELENA, CITY OF",Napa,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,2557,6152,87631.74029,15.12277537,Failing,YES,NO,NO,NO,NO,1.25,0,0.33,0.67,0,2.25,Failing,0,0,0.5,Yes,Yes,No,C,SW,SW,Self-produced,8.724695046740491
CA2810007,TOWN OF YOUNTVILLE,Napa,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,838,2751,73012.90656,19.94021032,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.33,0,1,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,7.920083199053234
CA2310003,"UKIAH, CITY OF",Mendocino,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,4940,16607,56412.0894,24.36358799,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.67,0,1.67,Not Failing,0,0,1,Yes,Yes,No,C,SW,SW,Self-produced,9.717639785965615
CA2310004,"WILLITS, CITY OF",Mendocino,DISTRICT 03 - MENDOCINO,City,NA,No,Yes,Full,NA,Full,2386,6175,62111.01498,27.8453648,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0.67,0.33,0,1.58,Not Failing,0,0,1,No,No,No,C,SW,SW,Self-produced,8.728426091704613
CA0710004,BRENTWOOD,Contra Costa,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,21143,64342,121397.5753,27.71473731,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.33,0,0.33,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,11.071983426998507
CA0710001,CITY OF ANTIOCH,Contra Costa,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,32897,115074,93488.37557,26.46302661,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,56000000,NA,Not Failing,NA,NA,NA,Yes,Yes,Yes,C,SW,SW,Self-produced,11.653339368685442
CA4810001,CITY OF BENICIA,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,9590,28000,113694.11,18.30793797,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0,0,0,0.58,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,10.239995502805316
CA4810009,CITY OF DIXON,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,3343,11055,85324.77388,23.73676043,Not At-Risk,NO,NO,NO,NO,NO,1.5,0.33,0,0,0,1.83,Not Failing,0,0,0,Yes,Yes,No,C,GW,GW,Self-produced,9.310728546007452
CA4810003,CITY OF FAIRFIELD,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,32269,107750,105955.0134,9.139198397,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SW,SW,Self-produced,11.587578288665387
CA0110006,CITY OF HAYWARD,Alameda,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,35211,159293,133785.504,21.30844032,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SWP,SW,Purchased,11.978506830405376
CA0110011,CITY OF LIVERMORE,Alameda,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,9943,35672,166451.0442,6.640195216,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.33,0,0.33,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,10.482149379105689
CA0710006,CITY OF MARTINEZ,Contra Costa,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,10170,28518,126724.6933,13.74886576,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.33,0,0.33,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,10.258325810799903
CA0710008,CITY OF PITTSBURG,Contra Costa,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,19483,62500,85721.09069,39.04163189,Not At-Risk,NO,NO,NO,NO,NO,0.25,0,1,0.5,0,1.75,Not Failing,NA,NA,0.5,Yes,Yes,No,C,SWP,SW,Purchased,11.042937835596494
CA0110008,CITY OF PLEASANTON,Alameda,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,22815,79871,183138.755,6.259551054,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.33,0,0.33,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,11.288180632289045
CA4810004,CITY OF RIO VISTA,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,5560,10472,70574.69686,29.11094953,Not At-Risk,NO,NO,NO,NO,NO,1.94,0.33,0,0,0,2.27,Not Failing,0,0,0,Yes,Yes,No,C,GW,GW,Self-produced,9.256555795773146
CA4810008,CITY OF VACAVILLE,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,29929,98742,97365.04014,11.91273317,Not At-Risk,NO,NO,NO,NO,NO,1.38,0,0,0.17,0,1.55,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,11.500275794174883
CA4810007,CITY OF VALLEJO,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,36651,126090,99055.24888,32.39828272,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SW,SW,Self-produced,11.744759147478872
CA4810021,CITY OF VALLEJO-LAKES SYSTEM,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,852,2800,99742.39955,32.39828272,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0,0,0.66,Not Failing,0,0,0.5,Yes,Yes,No,C,SW,SW,Self-produced,7.937731775260109
CA3810003,HHW&P MOCCASIN COMPOUND-SFPUC,San Francisco,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,89,217,57915.36531,22.63853822,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0.33,0,1.33,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,5.384495062789089
CA3810001,SAN FRANCISCO REGIONAL WATER SYSTEM,San Francisco,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,255,600,91392,30.11991842,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,238218951,NA,Not Failing,NA,NA,NA,Yes,Yes,Yes,C,SW,SW,Self-produced,6.398594934535208
CA0110012,TOWN OF SUNOL - SFPUC,Alameda,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,107,317,165331.3477,6.177150521,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0.33,0,1.33,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,5.762051382780177
