"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","ancillary","public","enfranchisement","Variablecoded","enfranchisement_final","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","WEIGHTED_WATER_QUALITY_SCORE","WEIGHTED_ACCESSIBILITY_SCORE","WEIGHTED_AFFORDABILITY_SCORE","WEIGHTED_TMF_CAPACITY_SCORE","FUNDING_RECEIVED_SINCE_2017","Total_risk","CURRENT_FAILING","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","EXTREME_WATER_BILL_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","Intend.to.apply.","Application.complete.","FundingYorN","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP"
"11","CA3910023","OAKWOOD LAKE WATER DISTRICT-SUBDIVISION","San Joaquin","DISTRICT 10 - STOCKTON","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",408,1502,119723.6038,27.92805474,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","No","No","C","GW","GW","Self-produced",7.31521838975297
"12","CA5010039","WESTERN HILLS WATER DISTRICT/DIABLO GRAN","Stanislaus","DISTRICT 10 - STOCKTON","California Water District",NA,"No","Yes","Variable","Full","Full",596,2000,63664.96555,40.83938625,"At-Risk","NO","NO","NO","NO","NO",1,1.33,1.33,1,0,4.66,"Not Failing",1,1,0,"No","No","No","C","SW","SW","Self-produced",7.60140233458373
"13","CA2010016","RIVERSTONE/ROOTCREEK WATER DISTRICT","Madera","DISTRICT 11 - MERCED","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",985,2944,101319.2353,56.18301812,"Not At-Risk","NO","NO","NO","NO","NO",0.25,1.17,0,0.83,0,2.25,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",7.98786409608569
"14","CA1910234","WALNUT VALLEY WATER DISTRICT","Los Angeles","DISTRICT 16 - CENTRAL","California Water District",NA,"No","Yes","Variable","Full","Full",27120,100202,101658.83,14.93085528,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",11.5149534073045
"15","CA4910029","CAMP MEEKER WATER SYSTEM","Sonoma","DISTRICT 18 - SONOMA","California Water District",NA,"No","Yes","Variable","Full","Full",356,1171,57823.2077,9.985561025,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"No","No","No","C","GW","GW","Self-produced",7.06646697013696
"16","CA1510052","NORTH EDWARDS WD","Kern","DISTRICT 19 - TEHACHAPI","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",217,944,49226,41.23572605,"Failing","YES","NO","NO","NO","YES",2.5,2,0.33,0.67,309457,5.5,"Failing",0,0,0.5,"No","No","Yes","C","GW","GW","Self-produced",6.85118492749374
"17","CA1503226","QVWD-WEST & EAST COMBINED WATER SYSTEM","Kern","DISTRICT 19 - TEHACHAPI","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",76,203,43090.78815,29.48204928,"At-Risk","NO","NO","NO","NO","NO",0.25,1,1.67,0.83,5818908,3.75,"Not Failing",1,1,0.5,"No","No","Yes","C","GW","GW","Self-produced",5.31811999384422
"18","CA1510016","RAND COMMUNITIES WATER DISTRICT","Kern","DISTRICT 19 - TEHACHAPI","California Water District",NA,"No","Yes","Variable","Full","Full",277,303,17500,41.23572605,"Failing","YES","NO","NO","NO","NO",2.5,0.33,1.33,1.33,3936388,5.49,"Failing",1,1,0,"Yes","Yes","Yes","C","GW","GW","Self-produced",5.71702770140622
"19","CA3310040","FERN VALLEY WD","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"No","Yes","Variable","Limited","Limited",1178,900,84243.99158,16.4408878,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.67,0,0.67,"Not Failing",0,0,0,"No","No","No","C","SW","SW","Self-produced",6.80350525760834
"20","CA3301775","HIGH VALLEYS WATER DISTRICT","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"No","Yes","Variable","Limited","Limited",231,762,59377.8052,21.95203494,"Potentially At-Risk","NO","NO","NO","NO","NO",0,1,0.67,1,0,2.67,"Not Failing",0,0,1,"Yes","No","No","C","GWP","GW","Purchased",6.63725803128446
"21","CA3310038","RANCHO CALIFORNIA WATER DISTRICT","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"No","Yes","Variable","Full","Full",44063,144088,130537.0687,13.49287748,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",11.878186443196
"22","CA3310074","TEMESCAL VALLEY WATER DISTRICT","Riverside","DISTRICT 20 - RIVERSIDE","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",6189,19856,107784.255,19.61387541,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,1.33,0,1.33,"Not Failing",0,0,0,"Yes","No","No","C","SWP","SW","Purchased",9.89631186878703
"23","CA5810006","NORTH YUBA WATER DISTRICT","Yuba","DISTRICT 21 - VALLEY","California Water District",NA,"No","Yes","Variable","Full","Full",793,2772,50040.18322,11.6899896,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0.33,0.67,5e+05,2.33,"Not Failing",0,0,0.5,"Yes","Yes","Yes","C","SW","SW","Self-produced",7.92768504561578
"24","CA5210005","RIO ALTO WATER DISTRICT","Tehama","DISTRICT 21 - VALLEY","California Water District",NA,"No","Yes","Variable","Full","Full",1412,3329,81836.00127,13.82201681,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.33,0,0,0.66,"Not Failing",0,0,0.5,"Yes","Yes","No","C","GW","GW","Self-produced",8.11072758297449
"25","CA1000345","PANOCHE WATER DISTRICT","Fresno","DISTRICT 23 - FRESNO","California Water District",NA,"No","Yes","Variable","Limited","Limited",50,146,56420.37513,47.27533292,"Failing","YES","NO","NO","NO","NO",0.5,1.33,0.33,0.33,0,2.49,"Failing",0,0,0.5,"Did not complete survey","No","No","C","SW","SW","Self-produced",4.99043258677874
"26","CA3710036","BORREGO WD","San Diego","DISTRICT 26 - IMPERIAL","California Water District",NA,"No","Yes","Variable","Full","Full",2049,3429,108232.7268,18.23513559,"Not At-Risk","NO","NO","NO","NO","NO",0,1.17,0,0.67,3349694,1.84,"Not Failing",0,0,0,"Yes","Yes","Yes","C","GW","GW","Self-produced",8.14031554015999
"27","CA3700074","CUYAMACA WATER DISTRICT","San Diego","DISTRICT 26 - IMPERIAL","California Water District",NA,"No","Yes","Variable","Full","Full",318,525,48329,13.57602479,"Failing","NO","YES","NO","NO","NO",0.75,0.33,0.75,0,0,1.83,"Failing",0.75,0,0,"No","No","No","C","GW","GW","Self-produced",6.26530121273771
"28","CA3701837","WYNOLA WATER DISTRICT","San Diego","DISTRICT 26 - IMPERIAL","California Water District",NA,"No","Yes","Variable","Full","Full",73,120,40227,13.57602479,"Failing","NO","YES","NO","NO","NO",0.25,0.33,0.75,0.17,0,1.5,"Failing",0.75,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",4.79579054559674
"29","CA0400014","LAKE MADRONE WATER DISTRICT","Butte","LPA34 - BUTTE COUNTY","California Water District",NA,"No","Yes","Variable","Limited","Limited",123,297,29035,31.48889645,"At-Risk","NO","NO","NO","NO","NO",0,1.33,0.33,0.67,0,2.33,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",5.6970934865054
"30","CA2700728","SAN ARDO WD","Monterey","LPA57 - MONTEREY COUNTY","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",161,575,69276,25.52262642,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0.17,0,0.5,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",6.35610766069589
"31","CA2810009","BERRYESSA PINES WATER SYSTEM","Napa","LPA58 - NAPA COUNTY","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",78,261,47045,15.07085257,"At-Risk","NO","NO","NO","NO","NO",0.25,1.33,1,1.5,0,4.08,"Not Failing",NA,NA,0.5,"Did not complete survey","No","No","C","SW","SW","Self-produced",5.5683445037611
"32","CA2810014","SPANISH FLAT WATER DISTRICT","Napa","LPA58 - NAPA COUNTY","California Water District",NA,"No","Yes","Variable","Limited","Limited",97,230,47045,15.07085257,"At-Risk","NO","NO","NO","NO","NO",2,1.33,1,1.5,0,5.83,"Not Failing",NA,NA,0.5,"Did not complete survey","No","No","C","SW","SW","Self-produced",5.44241771052179
"33","CA4500303","TUCKER OAKS EAST WATER DISTRICT","Shasta","LPA75 - SHASTA COUNTY","California Water District",NA,"No","Yes","Variable","Limited","Limited",34,95,47432,21.67927781,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0.33,0.67,0,2.33,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",4.56434819146784
"34","CA1210001","ARCATA, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",6280,19558,45889.33997,31.20642237,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.67,0,0,0.67,"Not Failing",0,0,1,"Yes","Yes","No","C","GWP","GW","Purchased",9.88119081753752
"35","CA1210002","BLUE LAKE, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",699,1245,49270.26833,17.53974925,"At-Risk","NO","NO","NO","NO","NO",0,1,1.67,0.67,0,3.34,"Not Failing",1,1,0.5,"Yes","Yes","No","C","GWP","GW","Purchased",7.1276936993474
"36","CA4710001","DORRIS, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",438,887,35928.79279,17.18245688,"Not At-Risk","NO","NO","NO","NO","NO",0,1,1.08,0,2324070,2.08,"Not Failing",0.75,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",6.78897174299217
"37","CA4710002","DUNSMUIR, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",1187,1707,31733.89063,20.01752824,"At-Risk","NO","NO","NO","NO","NO",0,2,1.42,0,5049303,3.42,"Not Failing",0.75,0,1,"No","No","Yes","C","GW","GW","Self-produced",7.44307837434852
"38","CA4710004","ETNA, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",413,720,39285.85803,11.36609274,"Potentially At-Risk","NO","NO","NO","NO","NO",0,1.33,1,0.33,5e+05,2.66,"Not Failing",NA,NA,0.5,"Yes","No","Yes","C","SW","SW","Self-produced",6.58063913728495
"39","CA1210004","EUREKA, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",10412,27078,45246.6248,31.20642237,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.67,0,0,0.67,"Not Failing",0,0,1,"Yes","Yes","No","C","GWP","GW","Purchased",10.2065137987225
"40","CA4710003","FORT JONES, TOWN OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",347,675,23103.96119,15.50184515,"At-Risk","NO","NO","NO","NO","NO",0,1.5,1.42,0.67,0,3.59,"Not Failing",0.75,0,1,"Yes","Yes","No","C","GW","GW","Self-produced",6.51619307604296
"41","CA1210006","FORTUNA, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",4614,12133,54840.29614,14.75218053,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0.67,0,1.67,"Not Failing",0,0,1,"Yes","Yes","No","C","GW","GW","Self-produced",9.40376670850224
"42","CA4710007","MONTAGUE, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",536,1495,48261.06563,25.60578175,"Not At-Risk","NO","NO","NO","NO","NO",0,0.5,0,0.17,0,0.67,"Not Failing",NA,NA,0,"No","No","No","C","SW","SW","Self-produced",7.31055015853442
"43","CA4710008","MT. SHASTA, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",1872,3642,31526.35298,20.82671348,"Not At-Risk","NO","NO","NO","NO","NO",0,0.5,0.67,0.67,6838797,1.84,"Not Failing",0,0,1,"Yes","Yes","Yes","C","GW","GW","Self-produced",8.20056279700856
"44","CA1210012","RIO DELL, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",1284,3300,28728.82899,21.72925706,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,1.67,0,1079176,2.25,"Not Failing",1,0,1,"Yes","Yes","Yes","C","SW","SW","Self-produced",8.10198073185319
"45","CA1210018","TRINIDAD, CITY OF","Humboldt","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",324,1072,70918.81379,10.99230037,"At-Risk","NO","NO","NO","NO","NO",1.5,1.33,0.33,0.67,0,3.83,"Not Failing",0,0,0.5,"No","No","No","C","SW","SW","Self-produced",6.9782137426307
"46","CA4710010","TULELAKE, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",473,966,38024.98681,18.57169949,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.33,0,166500,1.33,"Not Failing",0,0,0.5,"Did not complete survey","No","Yes","C","GW","GW","Self-produced",6.87419849545329
"47","CA4710009","WEED, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",1111,5324,30652.03346,25.60578175,"Not At-Risk","NO","NO","NO","NO","NO",0,0.5,0.33,1,757038,1.83,"Not Failing",0,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",8.58016799057763
"48","CA4710011","YREKA, CITY OF","Siskiyou","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",3015,7746,41661.14426,18.77062347,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0.33,8467000,1.33,"Not Failing",0,0,1,"Yes","Yes","Yes","C","SW","SW","Self-produced",8.9550609506319
"49","CA0810001","CITY OF CRESCENT CITY","Del Norte","DISTRICT 01 - KLAMATH","City",NA,"No","Yes","Full",NA,"Full",3557,16711,53398.85074,19.48438383,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0.33,0,1.66,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",9.7238823032364
"50","CA2510001","CITY OF ALTURAS","Modoc","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",1501,2715,41718.08196,31.77820856,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0.33,0,1.33,"Not Failing",0,0,1,"Did not complete survey","No","No","C","GW","GW","Self-produced",7.90691548867859
"51","CA4510001","CITY OF ANDERSON","Shasta","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",3586,11147,48826.19629,23.85153887,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0.67,0,1.67,"Not Failing",0,0,1,"Yes","No","No","C","GW","GW","Self-produced",9.31901538860184
"52","CA4610001","CITY OF LOYALTON","Sierra","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",356,983,61643.71705,18.27911427,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,2,0,2.33,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",6.89162589705225
"53","CA3210003","CITY OF PORTOLA","Plumas","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",1154,2100,43495.42431,19.68524602,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.33,0,0,0.33,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","SWP","SW","Purchased",7.650168700845
"54","CA4510005","CITY OF REDDING","Shasta","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",30377,87741,70333.05981,24.6600907,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SW","SW","Self-produced",11.3821559690809
"55","CA3110008","CITY OF ROSEVILLE","Placer","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",47683,143113,99267.32265,10.25800749,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SW","SW","Self-produced",11.8713967944419
"56","CA4510006","CITY OF SHASTA LAKE","Shasta","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",3883,10657,46404.8455,18.64975659,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0.67,0,0,2,"Not Failing",0,0,1,"Yes","Yes","No","C","SW","SW","Self-produced",9.27406606285673
"57","CA1810001","CITY OF SUSANVILLE","Lassen","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",3765,7811,53135.89233,26.38222655,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0.33,0,1.33,"Not Failing",0,0,1,"Yes","Yes","No","C","GW","GW","Self-produced",8.96341629199657
"58","CA3110004","CITY OF LINCOLN","Placer","DISTRICT 02 - LASSEN","City",NA,"No","Yes","Full",NA,"Full",25149,51252,104112.0982,8.728720803,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.67,0,0.67,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",10.8445294318728
"59","CA2810005","AMERICAN CANYON, CITY OF","Napa","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",5323,20990,121544.5886,16.76993207,"At-Risk","NO","NO","NO","NO","NO",2.25,1.33,0,0,0,3.58,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",9.95184905341401
"60","CA2810002","CALISTOGA, CITY OF","Napa","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",1591,5610,91750.39548,14.70590186,"Failing","YES","NO","NO","NO","NO",0.5,0,0,0.17,0,0.67,"Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",8.63248423575097
"61","CA2310001","FORT BRAGG, CITY OF","Mendocino","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",2861,6970,40773.01485,24.03625792,"Potentially At-Risk","NO","NO","NO","NO","NO",0.25,1,1.42,0,691796,2.67,"Not Failing",0.75,0,1,"Yes","Yes","Yes","C","SW","SW","Self-produced",8.8495139654864
"62","CA1710004","LAKEPORT, CITY OF","Lake","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",2314,4762,76097.20863,19.86956895,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0,0,0,1,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",8.46863300080086
"63","CA2810003","NAPA, CITY OF","Napa","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",25345,87067,110091.9496,9.773482332,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0,0,0,0,0.25,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",11.3744447015347
"64","CA2810004","ST. HELENA, CITY OF","Napa","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",2557,6152,87631.74029,15.12277537,"Failing","YES","NO","NO","NO","NO",1.25,0,0.33,0.67,0,2.25,"Failing",0,0,0.5,"Yes","Yes","No","C","SW","SW","Self-produced",8.72469504674049
"65","CA2810007","TOWN OF YOUNTVILLE","Napa","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",838,2751,73012.90656,19.94021032,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.67,0.33,0,1,"Not Failing",0,0,1,"Yes","Yes","No","C","SWP","SW","Purchased",7.92008319905323
"66","CA2310003","UKIAH, CITY OF","Mendocino","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",4940,16607,56412.0894,24.36358799,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0.67,0,1.67,"Not Failing",0,0,1,"Yes","Yes","No","C","SW","SW","Self-produced",9.71763978596561
"67","CA2310004","WILLITS, CITY OF","Mendocino","DISTRICT 03 - MENDOCINO","City",NA,"No","Yes","Full",NA,"Full",2386,6175,62111.01498,27.8453648,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0.67,0.33,0,1.58,"Not Failing",0,0,1,"No","No","No","C","SW","SW","Self-produced",8.72842609170461
"68","CA0710004","BRENTWOOD","Contra Costa","DISTRICT 04 - SAN FRANCISCO","City",NA,"No","Yes","Full",NA,"Full",21143,64342,121397.5753,27.71473731,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.33,0,0.33,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",11.0719834269985
"69","CA0710001","CITY OF ANTIOCH","Contra Costa","DISTRICT 04 - SAN FRANCISCO","City",NA,"No","Yes","Full",NA,"Full",32897,115074,93488.37557,26.46302661,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,5.6e+07,NA,"Not Failing",NA,NA,NA,"Yes","Yes","Yes","C","SW","SW","Self-produced",11.6533393686854
"70","CA4810001","CITY OF BENICIA","Solano","DISTRICT 04 - SAN FRANCISCO","City",NA,"No","Yes","Full",NA,"Full",9590,28000,113694.11,18.30793797,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0,0,0,0.58,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",10.2399955028053
"71","CA4810009","CITY OF DIXON","Solano","DISTRICT 04 - SAN FRANCISCO","City",NA,"No","Yes","Full",NA,"Full",3343,11055,85324.77388,23.73676043,"Not At-Risk","NO","NO","NO","NO","NO",1.5,0.33,0,0,0,1.83,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",9.31072854600745
"72","CA4810003","CITY OF FAIRFIELD","Solano","DISTRICT 04 - SAN FRANCISCO","City",NA,"No","Yes","Full",NA,"Full",32269,107750,105955.0134,9.139198397,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SW","SW","Self-produced",11.5875782886654
"73","CA0110006","CITY OF HAYWARD","Alameda","DISTRICT 04 - SAN FRANCISCO","City",NA,"No","Yes","Full",NA,"Full",35211,159293,133785.504,21.30844032,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",11.9785068304054
