PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Primacy_agency_SWRCB email,SAFER_REGULATOR,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes_last_updated,Weird_case,Activemarch29?,SAFER_status_2023
CA3910023,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,San Joaquin,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,Water District,Original,Water District,California Water District,,,,,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,Not Assessed
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,Stanislaus,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,Water District,Original,Water District,California Water District,,,,,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,At-Risk
CA2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,Madera,DISTRICT 11 - MERCED,#N/A,DISTRICT 11 - MERCED,Water District,Original,Water District,California Water District,,,,,RIVERSTONE/ROOTCREEK WATER DISTRICT,Not At-Risk
CA1910234,WALNUT VALLEY WATER DISTRICT,Los Angeles,DISTRICT 16 - CENTRAL,DISTRICT 16 - CENTRAL,DISTRICT 16 - CENTRAL,Water District,Original,Water District,California Water District,,,,,WALNUT VALLEY WATER DISTRICT,Not Assessed
CA4910029,CAMP MEEKER WATER SYSTEM,Sonoma,DISTRICT 18 - SONOMA,#N/A,DISTRICT 18 - SONOMA,Water District,Original,Water District,California Water District,,2019 MSR confirms is CA water district,2/7/23,,CAMP MEEKER WATER SYSTEM,Not Assessed
CA1510052,NORTH EDWARDS WD,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,Water District,Original,Water District,California Water District,,,,,NORTH EDWARDS WD,Failing
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,Water District,Consolidations,Water District,California Water District,,,,,QVWD-WEST & EAST COMBINED WATER SYSTEM,At-Risk
CA1510016,RAND COMMUNITIES WATER DISTRICT,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,Water District,Original,Water District,California Water District,,,,,RAND COMMUNITIES WATER DISTRICT,Failing
CA3310040,FERN VALLEY WD,Riverside,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,Water District,Original,Water District,California Water District,,,,,FERN VALLEY WD,Not At-Risk
CA3301775,HIGH VALLEYS WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,Water District,Original,Water District,California Water District,,,,,HIGH VALLEYS WATER DISTRICT,Potentially At-Risk
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,Water District,Original,Water District,California Water District,,,,,RANCHO CALIFORNIA WATER DISTRICT,Not Assessed
CA3310074,TEMESCAL VALLEY WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,Water District,Original,Water District,California Water District,,,,,TEMESCAL VALLEY WATER DISTRICT,Not At-Risk
CA5810006,NORTH YUBA WATER DISTRICT,Yuba,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,Water District,Consolidations,Water District,California Water District,,,,,NORTH YUBA WATER DISTRICT,Not At-Risk
CA5210005,RIO ALTO WATER DISTRICT,Tehama,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,Water District,Original,Water District,California Water District,,,,,RIO ALTO WATER DISTRICT,Not At-Risk
CA1000345,PANOCHE WATER DISTRICT,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Water District,Original,Water District,California Water District,,,,,PANOCHE WATER DISTRICT,Failing
CA3710036,BORREGO WD,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,Water District,Original,Water District,California Water District,,,,,BORREGO WD,Not At-Risk
CA3700074,CUYAMACA WATER DISTRICT,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,Water District,Original,Water District,California Water District,,,,,CUYAMACA WATER DISTRICT,Failing
CA3701837,WYNOLA WATER DISTRICT,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,Water District,Original,Water District,California Water District,,,,,WYNOLA WATER DISTRICT,Not At-Risk
CA0400014,LAKE MADRONE WATER DISTRICT,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,Water District,Original,Water District,California Water District,,,,,LAKE MADRONE WATER DISTRICT,At-Risk
CA2700728,SAN ARDO WD,Monterey,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,Water District,Original,Water District,California Water District,,,,,SAN ARDO WD,Not At-Risk
CA2810009,BERRYESSA PINES WATER SYSTEM,Napa,LPA58 - NAPA COUNTY,LPA58 - NAPA COUNTY,LPA58 - NAPA COUNTY,Water District,Original,Water District,California Water District,,,,,BERRYESSA PINES WATER SYSTEM,At-Risk
CA2810014,SPANISH FLAT WATER DISTRICT,Napa,LPA58 - NAPA COUNTY,LPA58 - NAPA COUNTY,LPA58 - NAPA COUNTY,Water District,Original,Water District,California Water District,,,,,SPANISH FLAT WATER DISTRICT,At-Risk
CA4500303,TUCKER OAKS EAST WATER DISTRICT,Shasta,LPA75 - SHASTA COUNTY,LPA75 - SHASTA COUNTY,LPA75 - SHASTA COUNTY,Water District,Original,Water District,California Water District,,,,,TUCKER OAKS EAST WATER DISTRICT,Not At-Risk
CA1210001,"ARCATA, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"ARCATA, CITY OF",Not At-Risk
CA1210002,"BLUE LAKE, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"BLUE LAKE, CITY OF",At-Risk
CA4710001,"DORRIS, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"DORRIS, CITY OF",Not At-Risk
CA4710002,"DUNSMUIR, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"DUNSMUIR, CITY OF",At-Risk
CA4710004,"ETNA, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"ETNA, CITY OF",Potentially At-Risk
CA1210004,"EUREKA, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Consolidations,City,City,,,,,"EUREKA, CITY OF",Not At-Risk
CA4710003,"FORT JONES, TOWN OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"FORT JONES, TOWN OF",At-Risk
CA1210006,"FORTUNA, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"FORTUNA, CITY OF",Not At-Risk
CA4710007,"MONTAGUE, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"MONTAGUE, CITY OF",Not At-Risk
CA4710008,"MT. SHASTA, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"MT. SHASTA, CITY OF",Not At-Risk
CA1210012,"RIO DELL, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"RIO DELL, CITY OF",Not At-Risk
CA1210018,"TRINIDAD, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"TRINIDAD, CITY OF",At-Risk
CA4710010,"TULELAKE, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"TULELAKE, CITY OF",Not At-Risk
CA4710009,"WEED, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"WEED, CITY OF",Not At-Risk
CA4710011,"YREKA, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,"YREKA, CITY OF",Not At-Risk
CA0810001,CITY OF CRESCENT CITY,Del Norte,DISTRICT 01 - KLAMATH,#N/A,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,CITY OF CRESCENT CITY,Not At-Risk
CA2510001,CITY OF ALTURAS,Modoc,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 01 - KLAMATH,City,Original,City,City,,,,,CITY OF ALTURAS,Not At-Risk
CA4510001,CITY OF ANDERSON,Shasta,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF ANDERSON,Not At-Risk
CA4610001,CITY OF LOYALTON,Sierra,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF LOYALTON,Not At-Risk
CA3210003,CITY OF PORTOLA,Plumas,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF PORTOLA,Not At-Risk
CA4510005,CITY OF REDDING,Shasta,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF REDDING,Not Assessed
CA3110008,CITY OF ROSEVILLE,Placer,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF ROSEVILLE,Not Assessed
CA4510006,CITY OF SHASTA LAKE,Shasta,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF SHASTA LAKE,Not At-Risk
CA1810001,CITY OF SUSANVILLE,Lassen,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF SUSANVILLE,Not At-Risk
CA3110004,CITY OF LINCOLN,Placer,DISTRICT 02 - LASSEN,#N/A,DISTRICT 02 - LASSEN,City,Original,City,City,,,,,CITY OF LINCOLN,Not At-Risk
CA2810005,"AMERICAN CANYON, CITY OF",Napa,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,"AMERICAN CANYON, CITY OF",At-Risk
CA2810002,"CALISTOGA, CITY OF",Napa,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,"CALISTOGA, CITY OF",Failing
CA2310001,"FORT BRAGG, CITY OF",Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,"FORT BRAGG, CITY OF",Potentially At-Risk
CA1710004,"LAKEPORT, CITY OF",Lake,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,"LAKEPORT, CITY OF",Not At-Risk
CA2810003,"NAPA, CITY OF",Napa,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Consolidations,City,City,,,,,"NAPA, CITY OF",Not At-Risk
CA2810004,"ST. HELENA, CITY OF",Napa,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Consolidations,City,City,,,,,"ST. HELENA, CITY OF",Failing
CA2810007,TOWN OF YOUNTVILLE,Napa,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,TOWN OF YOUNTVILLE,Not At-Risk
CA2310003,"UKIAH, CITY OF",Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,"UKIAH, CITY OF",Not At-Risk
CA2310004,"WILLITS, CITY OF",Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,City,Original,City,City,,,,,"WILLITS, CITY OF",Not At-Risk
CA0710004,BRENTWOOD,Contra Costa,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Consolidations,City,City,,,,,BRENTWOOD,Not At-Risk
CA0710001,CITY OF ANTIOCH,Contra Costa,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF ANTIOCH,Not Assessed
CA4810001,CITY OF BENICIA,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF BENICIA,Not At-Risk
CA4810009,CITY OF DIXON,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Consolidations,City,City,,,,,CITY OF DIXON,Not At-Risk
CA4810003,CITY OF FAIRFIELD,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Consolidations,City,City,,,,,CITY OF FAIRFIELD,Not Assessed
CA0110006,CITY OF HAYWARD,Alameda,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF HAYWARD,Not Assessed
CA0110011,CITY OF LIVERMORE,Alameda,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF LIVERMORE,Not At-Risk
CA0710006,CITY OF MARTINEZ,Contra Costa,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF MARTINEZ,Not At-Risk
CA0710008,CITY OF PITTSBURG,Contra Costa,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF PITTSBURG,Not At-Risk
CA0110008,CITY OF PLEASANTON,Alameda,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF PLEASANTON,Not At-Risk
CA4810004,CITY OF RIO VISTA,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF RIO VISTA,Not At-Risk
CA4810008,CITY OF VACAVILLE,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF VACAVILLE,Not At-Risk
CA4810007,CITY OF VALLEJO,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF VALLEJO,Not Assessed
CA4810021,CITY OF VALLEJO-LAKES SYSTEM,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,CITY OF VALLEJO-LAKES SYSTEM,Not At-Risk
CA3810003,HHW&P MOCCASIN COMPOUND-SFPUC,San Francisco,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,HHW&P MOCCASIN COMPOUND-SFPUC,Not At-Risk
CA3810001,SAN FRANCISCO REGIONAL WATER SYSTEM,San Francisco,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,#N/A,City,Original,City,City,,,,,SAN FRANCISCO REGIONAL WATER SYSTEM,#N/A
CA0110012,TOWN OF SUNOL - SFPUC,Alameda,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,"SFPUC is an appointed commission created by city charter, members nominated by mayor and confirmed the board of supervisors",1/27/23,,TOWN OF SUNOL - SFPUC,Not At-Risk
CA3810011,SFPUC CITY DISTRIBUTION DIVISION,San Francisco,DISTRICT 04 - SAN FRANCISCO,#N/A,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,,,,SFPUC CITY DISTRIBUTION DIVISION,Not Assessed
CA0110018,SFPUC-PLEASANTON WELLS,Alameda,DISTRICT 04 - SAN FRANCISCO,#N/A,DISTRICT 04 - SAN FRANCISCO,City,Original,City,City,,"SFPUC is an appointed commission created by city charter, members nominated by mayor and confirmed the board of supervisors",1/27/23,,SFPUC-PLEASANTON WELLS,Not Assessed
CA2710007,"GONZALES, CITY OF",Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,"GONZALES, CITY OF",Not At-Risk
CA2710008,"GREENFIELD, CITY OF",Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,"GREENFIELD, CITY OF",Potentially At-Risk
CA3510001,"HOLLISTER, CITY OF",San Benito,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Consolidations,City,City,,,,,"HOLLISTER, CITY OF",Failing
CA3510002,"SAN JUAN BAUTISTA, CITY OF",San Benito,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,"SAN JUAN BAUTISTA, CITY OF",Not At-Risk
CA4410010,SANTA CRUZ WATER DEPARTMENT,Santa Cruz,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,SANTA CRUZ WATER DEPARTMENT,Potentially At-Risk
CA2710018,SEASIDE MUNICIPAL WATER SYSTEM,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,SEASIDE MUNICIPAL WATER SYSTEM,Not At-Risk
CA2710011,"SOLEDAD, CITY OF",Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,"SOLEDAD, CITY OF",Not At-Risk
CA4410011,"WATSONVILLE, CITY OF",Santa Cruz,DISTRICT 05 - MONTEREY,#N/A,DISTRICT 05 - MONTEREY,City,Original,City,City,,,,,"WATSONVILLE, CITY OF",Not At-Risk
CA4010001,"ARROYO GRANDE, WATER DEPARTMENT",San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,"ARROYO GRANDE, WATER DEPARTMENT",Not At-Risk
CA4210018,BUELLTON WATER DEPARTMENT,Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,BUELLTON WATER DEPARTMENT,Not At-Risk
CA4210010,CITY OF SANTA BARBARA WATER DEPARTMENT,Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,CITY OF SANTA BARBARA WATER DEPARTMENT,Not At-Risk
CA5610011,CITY OF SANTA PAULA,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Consolidations,City,City,,,,,CITY OF SANTA PAULA,Not At-Risk
CA5610002,FILLMORE WATER DEPT,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,FILLMORE WATER DEPT,Not At-Risk
CA4010004,GROVER BEACH WATER DEPARTMENT,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,GROVER BEACH WATER DEPARTMENT,Not At-Risk
CA4210003,GUADALUPE WATER DEPARTMENT,Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,GUADALUPE WATER DEPARTMENT,Not At-Risk
CA4210006,LOMPOC-CITY WATER UTILITY DIV,Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,LOMPOC-CITY WATER UTILITY DIV,Not At-Risk
CA4010011,MORRO BAY PW DEPT - WATER DIVISION,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,MORRO BAY PW DEPT - WATER DIVISION,Potentially At-Risk
CA5610007,OXNARD WATER DEPT,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,OXNARD WATER DEPT,Not Assessed
CA4010007,PASO ROBLES WATER DEPARTMENT,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,PASO ROBLES WATER DEPARTMENT,Not At-Risk
CA4010008,PISMO BEACH WATER DEPARTMENT,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,PISMO BEACH WATER DEPARTMENT,Not At-Risk
CA5610009,PORT HUENEME WATER DEPT,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,PORT HUENEME WATER DEPT,Not At-Risk
CA4010009,SAN LUIS OBISPO WATER DEPARTMENT,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Consolidations,City,City,,,,,SAN LUIS OBISPO WATER DEPARTMENT,Not At-Risk
CA4210011,SANTA MARIA WATER DEPARTMENT,Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Consolidations,City,City,,,,,SANTA MARIA WATER DEPARTMENT,Not Assessed
CA4210013,SOLVANG WATER DIVISION,Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,SOLVANG WATER DIVISION,Not At-Risk
CA5610017,VENTURA WATER DEPARTMENT,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,City,Original,City,City,,,,,VENTURA WATER DEPARTMENT,Not Assessed
